"mmsi","year","month","hours","kir","post","date"
441869000,2014,2,607.077083333333,FALSE,FALSE,2014-02-01
440987000,2014,2,556.84,FALSE,FALSE,2014-02-01
441644000,2014,2,602.984722222222,FALSE,FALSE,2014-02-01
440646000,2014,2,575.152222222222,FALSE,FALSE,2014-02-01
441811000,2014,2,585.220694444445,FALSE,FALSE,2014-02-01
440765000,2014,2,499.312916666667,FALSE,FALSE,2014-02-01
224651000,2013,10,6.52888888888889,FALSE,FALSE,2013-10-01
440715000,2013,11,40.73375,FALSE,FALSE,2013-11-01
224523000,2013,4,25.5291666666667,FALSE,FALSE,2013-04-01
440503000,2014,7,663.794722222222,FALSE,FALSE,2014-07-01
538060006,2014,7,21.8702777777778,FALSE,FALSE,2014-07-01
440809000,2014,7,389.052083333333,FALSE,FALSE,2014-07-01
441483000,2014,7,626.435972222222,FALSE,FALSE,2014-07-01
440624000,2014,7,464.982222222222,FALSE,FALSE,2014-07-01
440641000,2014,7,686.2675,FALSE,FALSE,2014-07-01
440987000,2014,7,625.885555555556,FALSE,FALSE,2014-07-01
440620000,2014,7,696.181805555556,FALSE,FALSE,2014-07-01
529415000,2014,7,646.265555555555,TRUE,FALSE,2014-07-01
440788000,2014,7,704.179444444444,FALSE,FALSE,2014-07-01
440846000,2014,7,709.355972222222,FALSE,FALSE,2014-07-01
440782000,2014,7,657.183888888889,FALSE,FALSE,2014-07-01
440246000,2014,7,622.754166666667,FALSE,FALSE,2014-07-01
440055000,2014,7,610.101805555556,FALSE,FALSE,2014-07-01
440858000,2014,7,666.85125,FALSE,FALSE,2014-07-01
